,LAT,LONG
0,-23.549408,-46.638806
1,-23.54891,-46.63858
2,-23.55033,-46.63824
3,-23.54211,-46.63483
4,-23.540356,-46.62947
5,-23.53926,-46.62756
6,-23.543123,-46.627042
7,-23.53974,-46.6305
8,-23.55033,-46.63824
9,-23.536496,-46.642458000000005
10,-23.555771,-46.649496
11,-23.549408,-46.638806
12,-23.536496,-46.642458000000005
13,-23.555743,-46.649899
14,-23.551349,-46.640349
15,-23.543123,-46.627042
16,-23.53704,-46.64996
17,-23.5366,-46.64249
18,-23.55033,-46.63824
19,-23.549091,-46.640456
20,-23.54981,-46.63891
21,-23.55824,-46.62906
22,-23.538239,-46.641155
23,-23.557195,-46.628561
24,-23.549089,-46.627557
25,-23.53303,-46.64497
26,-23.549089,-46.627557
27,-23.53704,-46.64996
28,-23.540356,-46.62947
29,-23.53795,-46.64164
30,-23.5366,-46.64249
31,-23.539781,-46.636383
32,-23.537535,-46.641682
33,-23.55452,-46.62826
34,-23.543123,-46.627042
35,-23.54981,-46.63891
36,-23.549091,-46.640456
37,-23.557195,-46.628561
38,-23.540356,-46.62947
39,-23.555670000000003,-46.64951
40,-23.54979,-46.63891
41,-23.54827,-46.63882
42,-23.533575,-46.624845
43,-23.557195,-46.628561
44,-23.534161,-46.625495
45,-23.540356,-46.62947
46,-23.539251,-46.627554
47,-23.541352,-46.628215
48,-23.549089,-46.627557
49,-23.5366,-46.64249
50,-23.53705,-46.64988
51,-23.549915,-46.64605
52,-23.5366,-46.64249
53,-23.543123,-46.627042
54,-23.54943,-46.64456
55,-23.53705,-46.64988
56,-23.55936,-46.63913
57,-23.5366,-46.64249
58,-23.547317,-46.638115
59,-23.55033,-46.63824
60,-23.53758,-46.64177
61,-23.54198,-46.63219
62,-23.54028,-46.62815
63,-23.540356,-46.62947
64,-23.53993,-46.63074
65,-23.557170000000003,-46.62856
66,-23.538239,-46.641155
67,-23.543123,-46.627042
68,-23.540356,-46.62947
69,-23.54206,-46.642590000000006
70,-23.53791,-46.64167
71,-23.538277,-46.640838
72,-23.54979,-46.63891
73,-23.555527,-46.627621000000005
74,-23.53036,-46.62646
75,-23.53705,-46.64988
76,-23.55482,-46.62408
77,-23.53704,-46.64996
78,-23.549408,-46.638806
79,-23.53705,-46.64988
80,-23.535584,-46.650951
